Sample 4,Sample 5,Sample 6,Sample 7,Sample 9
123,124,125,125,127
312,315,311,307,310
123.2,377.4,110.6,122.5,112.8
123.7,415.5,112.7,336.4,165.8
128.3,427.9,113.2,369.1,177.6
164.1,524.4,113.4,406.9,213.1
409.4,979.7,113.7,420.9,232.7
412.9,996.6,114.5,424.4,253.2
416.4,999,114.6,429,258.7
430.2,1005.4,114.8,437.8,338.7
477.4,1009.2,115.3,460.6,375.2
628.5,1021.6,115.8,604.2,403.9
865.3,1031.6,116.8,619.4,406.4
979.4,1035.5,117.7,625.9,411
995.8,1042.2,118.3,771.7,418.3
1029.3,1046,118.7,968.9,420.9
1039.5,1046.9,120.1,985,431.3
1040.2,1058.2,120.3,998.6,448
1048.1,1066.1,122,1018.8,450.9
1049,1069.9,124.3,1019.4,451.9
1053.5,1077.1,127.9,1030.6,466.6
1078.6,1080.6,135.8,1038.1,495
1079.3,1080.9,136.2,1039.8,982.3
1087.2,1090.6,155.3,1047.4,991.7
1114.2,1124.5,160,1048.5,998.1
1121.3,1127,161.4,1048.9,999
1131.6,1164,161.4,1051.8,1005.9
1132.1,1195.8,162,1059.3,1012.9
1155.8,1212.8,162.1,1060,1025
1178.5,1226.8,162.3,1060.7,1025.2
1212.5,1336.9,162.7,1062.1,1029.4
1225.7,1356.4,162.8,1073.4,1034.9
1325.4,1377.2,163,1083.7,1035.8
1327.7,1379.7,163.5,1089.1,1041
1338,1385.9,163.7,1092.3,1043
1385.4,1391.3,164.3,1093.7,1045.7
1503.5,1511.6,164.3,1100.4,1047.6
1752.3,1652.1,164.4,1131.8,1047.8
1767.6,1657.7,164.4,1138.3,1051.8
1784.9,1713.7,165.5,1144.3,1052.1
1795.2,1750,166.2,1153.1,1054.7
1798.4,1754.8,166.2,1158.1,1054.9
1804,1761.5,166.4,1164.3,1066.7
1806.7,1762.7,166.8,1173.8,1068.1
1809.3,1766.6,168.1,1175.9,1073
1811.1,1808.1,168.3,1177.8,1075.2
1814.3,1809.2,169.2,1180.7,1077.1
1818.1,1816.8,169.5,1190.2,1078.3
1827.1,1820,169.6,1194.1,1092.5
1831.2,1822,169.8,1204.6,1099.1
1832.4,1827.7,170.5,1206.2,1104.6
1832.7,1828,170.8,1239.4,1111.5
1834.9,1829.6,173.4,1242.7,1122.1
1835.6,1831.8,174.2,1326,1123
1840.4,1831.9,174.4,1334.5,1141.5
1841,1832.6,174.6,1357.4,1141.5
1842,1839,174.7,1375.7,1150.2
1850.1,1840.1,174.9,1377.7,1150.2
1857.1,1840.6,175.1,1378.2,1150.8
1857.6,1842.9,175.1,1382,1155.4
1858.2,1844.7,176,1382.5,1157
1858.6,1847.4,177.4,1457.7,1161.6
1861.2,1850.8,177.4,1464.9,1161.8
1861.6,1855,191.7,1475.3,1167.1
1861.8,1857.1,206.3,1546.9,1172.2
1862.6,1857.5,213.3,1558,1176.3
1868.4,1857.8,217.4,1592,1189.3
1869.6,1858.7,235.4,1657.4,1202.9
1877,1859.1,255.9,1658.2,1222.5
1881.2,1860.1,283.8,1661.7,1247.3
1885.6,1860.3,357.9,1662.9,1253.2
1918.3,1860.4,380.3,1776.7,1254.2
1921.4,1861.7,396.8,1800.9,1256.1
1922.5,1868.4,415.9,1803.3,1258.9
1928.6,1870.9,433.7,1808.7,1267.6
1939.9,1874.7,445.5,1834.8,1270.9
2065.8,1878.6,555.1,1936.7,1313.6
2471.3,1883.8,639.1,2099.1,1338.1
2479.5,1886.1,969.3,2255.9,1357.3
2508,1903.7,998.6,2436.1,1367.6
2545.2,1918.6,1015.5,2709.6,1380.3
2576.2,1918.8,1022.9,2709.7,1383
2576.6,1920.2,1038.1,2727.6,1384.7
2578.3,1930.1,1046.2,2774.9,1448.2
2588.3,1933.5,1055,2812.3,1458.1
2592.3,2076.7,1182.1,,1477
2602.1,2420.7,1419.1,,1629.6
2682.3,2482.6,1514.8,,1640.9
2702.8,2522,1714.3,,1643.1
2705.1,2536,1767.4,,1645.3
2712.5,2536.7,1772.5,,1651
2746.4,2555.9,1781.6,,1734.5
2817.8,2573.9,1785.8,,1744.4
2842.3,2600.9,1829.1,,1764.3
2863.7,2633.7,1835.6,,1790.4
2953.1,2689.7,1837.2,,1836.6
2986,2694.5,1853.1,,2641.8
2993.5,2697.2,1862.5,,2667.8
,2700.6,1914.9,,2726.4
,2776.2,2066.7,,2770
,2805.9,2076.1,,2785.7
,3428.4,2747.9,,
,,2754.9,,
,,2963.3,,
